list_title,link,list_date,detail_title,detail_content
산재신청 제기 후 무급휴가 및 치료 중 근로하지않는 4주간 기숙사를 퇴실하라는 답을 받았습니다. 오늘 늦게연락을 받아 11개월간 사용했던 기숙사를 내일 단 하루만에 비워야합니다.,https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200555308970661,2025.11.20,빠른인터넷상담,
"현재 안전관리자 선임을 하려고 신청을 했는데 
제가 참고했던 블로그의 경우 처리내역에서 프린트하면 접수증을 출력 가능하다고 했는데 보이지 않아서요 어떻게 해야하나요?",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200552477680352,2025.11.20,빠른인터넷상담,
"제조업이고20인이상50인미만인사업장입니다안전보건관리담당자를선임하여교육받게하려고 하는데ISO45001를 인증 받으면 안전보건관리담당자를따로선임,교육받지않아도되나요?갈음되는지궁금합니다",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200548262110768,2025.11.20,빠른인터넷상담,
"2025년도 혹한기 산업안전보건관리비 사용가능 적용과 관련사항에 관한 공문 찾습니다. 24년도까진 올라왔는데 올해 계상 및 사용기준, 한시적 사용가능 품목 등의 설명이 적힌 공문.",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200547068000561,2025.11.20,빠른인터넷상담,
"밀폐공간 내 용접작업의 경우 특별안전교육 3호, 34호를 각각 16시간씩 해야하는지, 필수교육 내용을 포함하여 통합교육 16시간만 이수해도 되는지 궁금합니다.",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200544222200386,2025.11.20,빠른인터넷상담,
4차 실업급여 대상자인데 입사지원을 한 회사의 경력조건에 경력0년6개월이상우대라고 작성되어있습니다. 저의 경력은 신입인데 이 경우 재취업활동에 해당하지 않나요?,https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200535343560138,2025.11.20,빠른인터넷상담,
회사에서 이직확인서 신고 안해주면 어떻게 대처할수있나요?,https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200525369570276,2025.11.20,빠른인터넷상담,
"근로계약서 작성을 할때  제17조근로조건의 명시, 제8조명시하여야 할 근로조건, 제93조취업규칙의 작성ㆍ신고 말고 사대보험에 관한 내용을 고지해야 되는지 궁금합니다.",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200520247190365,2025.11.20,빠른인터넷상담,
노동포털 진정신고서 민원신청 하려고 하는데 피진정인 작성항목에서 개인으로 특정되는게 아니라서 성명하고 휴대전화번호를 모르는데 어떻게 해야 하나요?,https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200519193550442,2025.11.20,빠른인터넷상담,
기업활동 규제완화에 관한 특별 조치법 제29조 4항에 따른 보건관리자 선임 인원이 어떻게 되나요? 공사금액 4200억 이상인 경우 보건관리자 채용은 몇명으로 하면 좋나요?,https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200510524210572,2025.11.20,빠른인터넷상담,
"권고사직을 당했습니다. 
권고사직중 제가알스가없는 서류를내밀려 사인만하시면됩니다라고였고
저는 아무것도 모른체 사인을했습니다.
고용센터를방문을하니 저의퇴사 사유가달랐고,자발적퇴사라",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200507494460515,2025.11.20,빠른인터넷상담,
"국민취업지원제도 신청서 작성 중인데, 항목중에 6개월 이내 직접일자리 참여 여부를 묻는 질문이 있는데, &amp;ampampamplt중장년 경력지원제&amp;ampampampgt 참여 이력도 직접일자리에 해당하는지 문의드립니다.",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200503250010621,2025.11.20,빠른인터넷상담,
"국가건강검진 대상 근로자 중 개별검진 하는경우 국가건강검진 제외 대상으로 신청해야하나요?
사업장에서 별도로 제출해야하는 서류가 있는지 궁금합니다.미수검자 과태료 관련",https://www.moel.go.kr/minwon/fastcounsel/fastcounselView.do?inetDcssMngId=202511200453396070406,2025.11.20,빠른인터넷상담,
